ID,JUDUL MASAKAN,BAHAN,NAMA DAERAH
342,nasi goreng tempoyak,"(air, beras, ikan, minyak, pete, selada, telur, tempoyak, tomat)",kalimantan
343,tempoyak udang,"(bawang putih, cabai merah, cabe rawit, daun salam, garam, gula, penyedap rasa, serai, tempoyak, udang)",kalimantan
344,pepes ikan kembung tempoyak,"(bawang putih, cabai merah, cabe rawit, daun jeruk, daun salam, garam, gula, ikan, jahe, jeruk nipis, kemangi, kemiri, kunyit, lengkuas, penyedap rasa, serai, tempoyak, tomat)",kalimantan
345,gulai tempoyak ikan patin,"(air, cabai hijau, cabai merah, cabe rawit, daun kemangi, garam, gula, ikan, jeruk nipis, kemangi, kunyit, penyedap rasa, serai, tempoyak)",kalimantan
346,gulai tempoyak santan patin terong pete,"(air, cabai merah, garam, gula, ikan, kelapa, pete, santan, serai, tempoyak, terong)",kalimantan
347,pindang tempoyak ikan mas,"(cabai merah, garam, gula, ikan, kunyit, penyedap rasa, serai, tempoyak, tomat)",kalimantan
348,sambal tempoyak teri,"(cabai merah, cabe rawit, daun salam, garam, gula, ikan, kunyit, serai, tempoyak)",kalimantan
349,liwet kluwek kambing panggang sambal habang khas kalimantan ala timlo bogor,"(air, air asam, asam, bawang bombay, bawang putih, beras, cabai merah, cengkeh, daging kambing, daun jeruk, daun pandan, daun salam, garam, gula, gula merah, jahe, jeruk nipis, kapulaga, kayu manis, kecap, kemiri, kluwek, lengkuas, minyak, penyedap rasa, serai, terasi)",kalimantan
350,pepes ikan nila tempoyak,"(bawang putih, cabai merah, daun pisang, garam, gula, ikan, kunyit, penyedap rasa, pisang, serai, tempoyak)",kalimantan
351,sambal tempoyak ikan nila,"(air, cabai merah, durian, garam, gula, ikan, minyak, penyedap rasa, serai)",kalimantan
352,ikan bulat masak tempoyak,"(air, cabai merah, cabe rawit, ikan, jeruk nipis, kunyit, serai, tempoyak)",kalimantan
353,pepes ikan tempoyak,"(bawang putih, cabai merah, cabe rawit, daun kemangi, daun pisang, garam, gula, ikan, jahe, kemangi, kemiri, ketumbar, kunyit, lada, lengkuas, minyak, penyedap rasa, pisang, serai, tempoyak)",kalimantan
354,pindang patin tempoyak,"(air, bawang putih, cabai merah, cabe rawit, daun bawang, daun kemangi, durian, garam, gula, ikan, jahe, jamur, jeruk nipis, kaldu jamur, kemangi, kunyit, lengkuas, nanas, serai, tempoyak)",kalimantan
355,udang pare tempoyak,"(bawang putih, cabai merah, cabe rawit, daun jeruk, garam, gula, jeruk nipis, pare, penyedap rasa, serai, udang)",kalimantan
356,tempoyak balado jengkol,"(air, garam, gula, jengkol, tempoyak)",kalimantan
357,sambal tempoyak durian,"(bawang putih, cabai merah, cabe rawit, durian, garam, gula, kunyit)",kalimantan
358,pindang patin tempoyak khas palembang,"(cabai merah, cabe rawit, ikan, jahe, kunyit, lengkuas, minyak, serai, tempoyak)",kalimantan
359,botok khas sambaskalimantan barat,"(bawang putih, cabai merah, cabe rawit, daun kesum, daun mengkudu, daun salam, garam, gula, ikan, jahe, kelapa, kemiri, ketumbar, kunyit, lengkuas, minyak, penyedap rasa, santan, serai)",kalimantan
360,sambal tempoyak ikan,"(air, cabai merah, garam, gula, ikan, tempoyak)",kalimantan
361,sambal tempoyak pete ikan teri,"(cabai merah, garam, gula, ikan, penyedap rasa, pete, tempoyak)",kalimantan
362,omelette sambal tempoyak,"(bawang bombay, bawang putih, daun bawang, garam, lada, penyedap rasa, telur)",kalimantan
363,sambal tempoyak kukus asam durian,"(bawang bombay, cabai merah, durian, garam)",kalimantan
364,sambal pete ikan teri plus tempoyak,"(air, bawang putih, cabai merah, garam, gula, ikan, penyedap rasa, pete, tempoyak)",kalimantan
365,tempoyak ikan patin khas riau,"(air, cabai merah, durian, ikan, kunyit, tempoyak)",kalimantan
366,brengkes patin tempoyak,"(bawang putih, cabai merah, cabe rawit, daun jeruk, daun kemangi, daun salam, ikan, jeruk nipis, kemangi, kunyit, lengkuas, serai, tempoyak)",kalimantan
367,oseng mandai khas kalimantan,"(bawang putih, cabai merah, cempedak, garam, gula, minyak, nangka, penyedap rasa)",kalimantan
368,sambal tempoyak,"(air, cabai merah, cabe rawit, ikan, minyak, tempoyak)",kalimantan
369,pepes bumbu dan tempoyak ikan mas,"(bawang putih, cabai merah, daun kemangi, daun pisang, daun salam, garam, ikan, jahe, jeruk nipis, kemangi, kemiri, ketumbar, kunyit, lemon, lengkuas, pisang, serai, telur, tempoyak, tomat)",kalimantan
370,sambal tempoyak,"(cabai merah, garam, gula, tempoyak, terasi)",kalimantan
371,pepes ikan nila in bumbu kunyit pedas non pedas tempoyak,"(bawang putih, cabai merah, daun jeruk, daun pisang, daun salam, garam, gula, ikan, jahe, jeruk nipis, kemangi, kunyit, lemon, lengkuas, penyedap rasa, pisang, serai, tempoyak, tomat)",kalimantan
372,tahu masak habang khas kalteng tahu masak merah,"(bawang putih, cabai merah, gula, gula merah, jahe, kayu manis, kemiri, tahu)",kalimantan
373,ayam woku tempoyak,"(air, bawang putih, cabai merah, daging ayam, daun bawang, daun jeruk, garam, gula, jahe, jeruk nipis, kemangi, kemiri, kencur, kunyit, lada, lengkuas, merica, penyedap rasa, serai, tempoyak, tomat)",kalimantan
374,sambel tempoyak dkk,"(bawang putih, cabai merah, cabe rawit, garam, gula, ikan, penyedap rasa, pete, tempoyak)",kalimantan
375,pepes tempoyak ikan patin,"(bawang putih, cabai merah, cabe rawit, daun pisang, durian, garam, ikan, jahe, jamur, kaldu jamur, kunyit, pisang, serai, tempoyak)",kalimantan
376,ikan panggang bumbu tempoyak,"(bawang putih, cabai merah, cabe rawit, daun jeruk, garam, gula, ikan, jeruk nipis, kecombrang, ketumbar, lada, serai, tempoyak, terasi)",kalimantan
377,kepala patin tempoyak khas palembang,"(air, bawang putih, cabai merah, daun kemangi, daun salam, durian, garam, gula, ikan, kemangi, kemiri, kunyit, lengkuas, minyak, nanas, penyedap rasa, serai, tempoyak, terasi)",kalimantan
378,sambal dayak balaikarangan,"(bawang putih, cabai merah, cabe rawit, garam, jeruk nipis, penyedap rasa)",kalimantan
379,pisang gapit bakar khas kalimantan,"(air, daun pandan, garam, gula, gula merah, kelapa, maizena, margarin, pisang, santan, tepung terigu, vanili)",kalimantan
380,udang sambal tempoyak,"(bawang putih, cabai merah, cabe rawit, garam, gula, ikan, minyak, penyedap rasa, tempoyak, udang)",kalimantan
381,gangan asam ikan kembung khas kalimantan,"(air, air asam, asam, bawang putih, cabai merah, cabe rawit, daun bawang, garam, gula, ikan, jahe, kemiri, ketumbar, kunyit, lengkuas, penyedap rasa)",kalimantan
382,telur ayam masak habang masakan khas kalsel,"(cabai merah, cabe rawit, daging ayam, daun jeruk, daun salam, garam, gula, jahe, jeruk nipis, lengkuas, penyedap rasa, saos, serai, telur, tomat)",kalimantan
383,nasi kuning masak habang khas kalsel,"(air, bawang putih, beras, cabai merah, cabe rawit, daging ayam, daging sapi, daun bawang, daun jeruk, daun pandan, garam, jeruk nipis, kunyit, mie, santan, serai)",kalimantan
384,tempoyak ikan jambi,"(air, cabai merah, garam, gula, ikan, kunyit, penyedap rasa, serai, teh, tempoyak, terong, timun)",kalimantan
385,putu songkok khas kalbar,"(air, air kelapa, beras, daun pandan, garam, gula, gula merah, kelapa, ketan, kunyit, santan)",kalimantan
386,lele sambel tempoyak pete,"(air, bawang putih, cabai merah, cabe rawit, garam, gula, ikan, kunyit, minyak, pete, serai, tempoyak)",kalimantan
387,gurame masak tempoyak,"(bawang putih, cabai merah, cabe rawit, garam, ikan, jahe, kemiri, kunyit, penyedap rasa, tempoyak)",kalimantan
388,nila gulai tempoyak,"(bawang putih, cabai merah, cabe rawit, garam, gula, ikan, kunyit, serai, tempoyak)",kalimantan
389,asam tempoyak ikan patin,"(air, cabai merah, cabe rawit, garam, ikan, kunyit, penyedap rasa, tempoyak)",kalimantan
390,sambal goreng tempoyak,"(bawang putih, cabai merah, cabe rawit, gula, penyedap rasa, tempoyak)",kalimantan
391,daging masak habang khas banjar kalimantan,"(air, bawang putih, cabai merah, daging sapi, garam, gula, gula merah, jahe, kayu manis, kencur, terasi)",kalimantan
392,tempoyak pete dan teri,"(beras, cabai merah, cabe rawit, ikan, kunyit, pete, serai, tempoyak)",kalimantan
393,pepes patin tempoyak,"(bawang putih, cabai merah, daun kemangi, ikan, jahe, kemangi, kunyit, laos, serai, tempoyak)",kalimantan
394,tempoyak ikan patin khas jambi,"(air, cabai merah, cabe rawit, daging ayam, durian, garam, gula, ikan, kunyit, penyedap rasa, serai, teh, tempoyak, timun)",kalimantan
395,sambal tempoyak,"(cabai merah, cabe rawit, garam, gula, minyak, serai, tempoyak)",kalimantan
396,brengkes tempoyak ikan patin,"(cabai merah, daun pisang, garam, gula, ikan, kunyit, pisang, serai, tempoyak)",kalimantan
397,pindang patin tempoyak kuah kental,"(bawang putih, cabai merah, daun salam, garam, gula, ikan, kunyit, lengkuas, serai, tempoyak)",kalimantan
398,ikan nila kuah asam duriantempoyak,"(air, bawang putih, cabai merah, garam, gula, ikan, kunyit, serai, tempoyak)",kalimantan
399,pindang patin masak tempoyak,"(bawang putih, cabai merah, cabe rawit, daun bawang, daun jeruk, daun kemangi, daun salam, garam, gula, ikan, jahe, jamur, jeruk nipis, kaldu jamur, kemangi, kemiri, kunyit, lada, lengkuas, serai, tempoyak, tomat)",kalimantan
400,gulai tempoyak ala mama ine,"(cabai merah, cabe rawit, garam, gula, ikan, kunyit, lengkuas, serai, tempoyak)",kalimantan
401,tempoyak kuah ikan nila,"(bawang putih, cabai merah, durian, garam, gula, ikan, kemangi, kunyit, lengkuas, tempoyak, terong)",kalimantan
402,gulai tempoyak ikan lele,"(air, bawang putih, cabai merah, cabe rawit, garam, gula, ikan, jahe, kunyit, serai, tempoyak)",kalimantan
403,pindang tempoyak ikan lele,"(air, cabai merah, daun salam, daun serai, garam, gula, ikan, jahe, kunyit, lengkuas, penyedap rasa, serai, tempoyak)",kalimantan
404,ayam suwir tempoyak durian yg difermentasikan,"(bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, jahe, jeruk nipis, kemiri, kunyit, lengkuas, serai, tempoyak)",kalimantan
405,tempoyak khas jambi,"(cabai merah, cabe rawit, garam, gula, ikan, kunyit, serai, tempoyak)",kalimantan
406,buras masak presto,"(beras, daun pisang, garam, kelapa, pisang, santan, teh)",sulawesi
407,ikan salem masak palumara,"(air, bawang putih, cabai merah, cabe rawit, daun jeruk, garam, gula, gula merah, ikan, jahe, jeruk nipis, ketumbar, kunyit, merica, penyedap rasa, serai, teh, tomat)",sulawesi
408,sanggara peppe pisang goreng penyet,"(bawang putih, cabai merah, cabe rawit, garam, gula, gula merah, minyak, pisang, terasi, tomat)",sulawesi
409,mie titi makassar,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, daging sapi, garam, jeruk nipis, maizena, margarin, mie, minyak, saos, saos tiram, sapi, sawi, teh, telur, wijen, wortel)",sulawesi
410,buras makassar sambal kacang udang rebon,"(air, asam, bawang putih, beras, cabai merah, daun pandan, garam, gula, gula merah, kacang tanah, penyedap rasa, udang)",sulawesi
411,es pisang ijo,"(air, beras, daun pandan, garam, gula, kelapa, pewarna makanan, pisang, santan, susu, teh, tepung beras, tepung terigu)",sulawesi
412,brownies pisang ijo,"(baking soda, brown sugar, coklat, garam, gula, margarin, mentega, minyak, pisang, teh, telur, tepung terigu, vanili)",sulawesi
413,es poteng,"(air, sirup, susu, ubi, vanilla)",sulawesi
414,barongko khas makasar,"(daging ayam, daun pisang, garam, gula, kelapa, pisang, santan, susu, telur)",sulawesi
415,putu cangkir,"(beras, garam, gula, gula merah, ketan, tepung beras, tepung ketan, tepung terigu)",sulawesi
416,pisang kuah kental pallubutung,"(daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung terigu, vanili)",sulawesi
417,es pisang ijo pisang orange dan kuah pink,"(air, beras, daun pandan, gula, kelapa, maizena, pisang, santan, susu, tepung beras, tepung terigu, ubi)",sulawesi
418,buras pandan,"(air, beras, daun pandan, daun pisang, daun salam, garam, kelapa, pisang, santan, serai, teh)",sulawesi
419,barongko tanpa daun,"(air, garam, gula, kelapa, pisang, santan, teh, telur)",sulawesi
420,sarabba khas makassar,"(air, daging ayam, garam, gula, gula aren, jahe, kelapa, merica, santan, serai, teh, telur)",sulawesi
421,barobbo bubur jagung,"(air, bawang putih, beras, daun bay, daun katuk, daun salam, garam, jagung, jamur, jeruk nipis, kaldu jamur, merica, serai, teh, wortel)",sulawesi
422,es poteng khas makasar,"(air, air kelapa, kelapa, roti, sirup, susu, ubi)",sulawesi
423,coto kuda khas bugis,"(bawang putih, bihun, daging kuda, daun bawang, jagung, jahe, kacang tanah, ketumbar, lengkuas, merica, serai, teh)",sulawesi
424,ikan pallumara khas makasar,"(air, air asam, asam, bawang putih, cabai merah, cabe rawit, daging ayam, daun bawang, daun jeruk, garam, gula, ikan, jeruk nipis, ketumbar, kunyit, serai, teh, tomat)",sulawesi
425,buras khas sulawesi,"(beras, daun pisang, garam, gula, kelapa, pisang, santan)",sulawesi
426,pisang epe,"(air, daun pandan, garam, gula, gula merah, maizena, margarin, pisang)",sulawesi
427,pisang ape makassar selai gulmer,"(air, daun pandan, gula, kelapa, maizena, pisang, santan)",sulawesi
428,palumara bandeng khas makassar,"(air, asam, bawang putih, cabai merah, cabe rawit, daun jeruk, garam, ikan, jeruk nipis, kunyit, penyedap rasa, teh, tomat)",sulawesi
429,barongko kue khas bugis dengan tanpa daun,"(daging ayam, daun pisang, garam, gula, kelapa, pewarna makanan, pisang, santan, teh, telur, vanili)",sulawesi
430,ayam paklelo khas bugis makasar,"(air, air asam, asam, bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, daun salam, garam, gula, jahe, jamur, jeruk nipis, kaldu jamur, ketumbar, kunyit, lada, lengkuas, mentega, minyak, serai, teh)",sulawesi
431,tello cempa,"(air, asam, bawang putih, cabai merah, cabe rawit, garam, gula, gula aren, jamur, kaldu jamur, kecap, telur)",sulawesi
432,topalada rendang khas bugis makassar,"(air, air asam, asam, coklat, daging sapi, garam, gula, gula merah, jamur, jintan, kaldu jamur, lada, minyak, teh)",sulawesi
433,coto makassar,"(air, bawang putih, beras, cabai merah, daging sapi, daun bawang, daun salam, garam, gula, jahe, jamur, jintan, kacang tanah, kaldu jamur, kayu manis, kecap, kemiri, ketumbar, kunyit, lada, lengkuas, pala, serai, teh)",sulawesi
434,sop ubi khas makassar,"(bawang putih, bihun, daging sapi, garam, gula, jintan, ketumbar, kol, merica, mie, penyedap rasa, tauge, teh, telur, ubi)",sulawesi
435,ikan bakar parape,"(bawang putih, cabai merah, ikan, jahe, kemiri)",sulawesi
436,sop conro khas makassar,"(air, bawang putih, cengkeh, daging sapi, daun bawang, daun salam, garam, jahe, jintan, kacang tanah, kapulaga, kemiri, ketumbar, kunyit, lengkuas, penyedap rasa, serai)",sulawesi
437,sambal singkong,"(bawang putih, belimbing, cabai merah, cabe rawit, garam, gula, minyak, penyedap rasa, terasi, tomat, ubi)",sulawesi
438,boloso bayao telor ceplok santan,"(air, bawang putih, daun bawang, garam, jahe, kelapa, minyak, penyedap rasa, santan, serai, telur, tepung beras)",sulawesi
439,nasi goreng merah ala makasar,"(bawang putih, beras, daun bawang, garam, minyak, saos, saos tiram, teh, telur, tomat, wijen)",sulawesi
440,sup kaledo,"(air, cabai merah, cabe rawit, daging sapi, daun bawang, garam, jeruk nipis, penyedap rasa, ubi)",sulawesi
441,kaledo,"(air, asam, cabai merah, cabe rawit, daging sapi, daun bawang, daun jeruk, garam, gula, jeruk nipis, lada, ubi)",sulawesi
442,gb kaledo alaku,"(air, air asam, cabai merah, cabe rawit, daging sapi, daun bawang, daun jeruk, garam, jeruk nipis, teh)",sulawesi
443,sayur kelor santan uta kelo khas palu,"(air, daun kelor, garam, kelapa, pisang, santan, terong)",sulawesi
444,kaledo khas sulawesi tenggara,"(asam, cabai merah, cabe rawit, daging sapi, garam, jahe, jeruk nipis, lemon, penyedap rasa, seledri)",sulawesi
445,binte makanan khas palu sulteng,"(bawang putih, daun bawang, garam, jagung, jeruk nipis, merica, minyak, ubi)",sulawesi
446,duo penja pedas palu,"(bawang putih, cabai merah, garam, gula, jamur, kaldu jamur, kecap, minyak, tomat)",sulawesi
447,kaledo palu,"(asam, beras, cabai merah, cabe rawit, daging sapi, jeruk nipis, seledri)",sulawesi
448,milu siram khas sulawesi tengah,"(cabai merah, cabe rawit, daun bawang, garam, gula, ikan, jagung, jeruk nipis, kemangi, lemon, penyedap rasa)",sulawesi
449,sambal goreng daging khas palu,"(air, asam, bawang putih, cabai merah, daging sapi, gula, gula merah, jintan, kecap, kentang, ketumbar, lengkuas, serai)",sulawesi
450,balado ikan asin palupalu,"(cabai merah, garam, ikan, kentang, minyak, tomat)",sulawesi
451,kaledo,"(air, air asam, asam, bawang putih, cabai merah, cabe rawit, cengkeh, daging sapi, daun jeruk, garam, gula, jahe, jeruk nipis, minyak, penyedap rasa, serai)",sulawesi
452,ikan palumara khas palu,"(air, bawang putih, cabai merah, cabe rawit, garam, gula, ikan, kunyit, minyak, tomat)",sulawesi
453,brioche durian palu,"(air, durian, gula, gula aren, kelapa, maizena, mentega, santan, susu, telur, tepung terigu, yeast)",sulawesi
454,pisang goreng ala palu sulteng,"(bawang putih, beras, cabai merah, garam, gula, jeruk nipis, minyak, pisang, teh, tepung beras, tepung terigu, terasi, tomat)",sulawesi
455,kuah santan rono tapa tempe khas sulawesi palu,"(bawang putih, cabai merah, cabe rawit, garam, ikan, kelapa, minyak, penyedap rasa, santan, tempe)",sulawesi
456,putu ketan putih khas kota palu,"(air, beras, garam, ketan)",sulawesi
457,kue tetukue perahu gula merah dan gula pasir khas kota palu,"(beras, daun pandan, garam, gula, gula merah, kelapa, santan, tepung beras, tepung terigu)",sulawesi
458,sayur kelor santanuta kelo dan sambel ikan duonike khas palu,"(air, bawang putih, cabai merah, cabe rawit, daun kelor, garam, ikan, kelapa, minyak, pisang, santan, terong, tomat)",sulawesi
459,palu kacci makassar,"(air, asam, bawang putih, cabai merah, cabe rawit, garam, gula, ikan, kunyit, merica, serai)",sulawesi
460,es palu butung khas makassar,"(air, beras, daun pandan, garam, gula, kelapa, pewarna makanan, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
461,palu mara daging khas masakan sulawesi tengah,"(asam, bawang putih, daging sapi, garam, gula, jahe, kemiri, kunyit, penyedap rasa, serai)",sulawesi
462,es palu butung simpel,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
463,palu butung simple,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung beras, tepung terigu, vanili)",sulawesi
464,es pallu butung palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
465,kue palu butung,"(garam, gula, kelapa, pisang, santan, tepung terigu)",sulawesi
466,es palu butung by bunda,"(beras, daun pandan, garam, gula, keju, kelapa, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
467,es palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, tepung beras, tepung terigu)",sulawesi
468,es palu butung modifikasi,"(air, beras, garam, gula, kelapa, pisang, santan, sirup, tepung beras, tepung terigu, vanili)",sulawesi
469,es palu butung,"(air, beras, garam, gula, kacang merah, kelapa, melon, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
470,es palu butung,"(daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung terigu)",sulawesi
471,palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
472,palu butung khas makasar,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
473,palu mara,"(air, asam, bawang putih, cabai merah, cabe rawit, daun jeruk, garam, ikan, jeruk nipis, kunyit, penyedap rasa, serai, tomat)",sulawesi
474,es palu butung,"(air, beras, garam, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
475,es palu butung,"(air, beras, daun pandan, garam, gula, nata de coco, pisang, sirup, tepung beras, tepung terigu)",sulawesi
476,es pisang palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
477,es palu butung alaala,"(air, beras, daun pandan, garam, kelapa, ketan, pisang, santan, sirup, tepung beras, tepung ketan, tepung terigu)",sulawesi
478,es palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
479,es palu butung khas makassar,"(air, beras, daun pandan, garam, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
480,es palu butung ala chef muhammad,"(air, beras, daun pandan, garam, kelapa, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
481,es palu butung,"(air, beras, daun pandan, garam, kelapa, pisang, santan, sirup, strawberry, susu, tepung beras, tepung terigu)",sulawesi
482,es palu butung,"(air, beras, daun pandan, garam, gula, kelapa, pisang, santan, saos, sirup, tepung beras, tepung terigu)",sulawesi
483,palu butung pekaninspirasi bikinramadanberkesan,"(air, beras, gula, kelapa, maizena, pewarna makanan, pisang, santan, sirup, tepung beras, tepung terigu)",sulawesi
484,palu butung mutiara,"(air, garam, gula, kelapa, maizena, pisang, sagu, santan, susu, tepung beras)",sulawesi
485,es palu butung makassar,"(air, beras, daun pandan, garam, kelapa, pisang, santan, sirup, susu, tepung beras, tepung terigu)",sulawesi
486,es palu butung,"(air, beras, daun pandan, kelapa, pisang, santan, tepung beras, tepung terigu)",sulawesi
487,kue balapis khas manado,"(air, coklat, daun pandan, garam, gula, kelapa, margarin, mentega, minyak, pewarna makanan, santan, susu, vanilla)",sulawesi
488,kue tetu atau kue perahu khas sulawesi,"(beras, daun pandan, garam, gula, gula merah, kelapa, santan, tepung beras, tepung terigu)",sulawesi
489,balapis kenari khas manado,"(coklat, daun pandan, garam, gula, kelapa, kenari, santan, susu, tepung terigu, vanili)",sulawesi
490,ayam ricarica khas manado,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, daun bawang, daun kemangi, garam, jahe, jeruk nipis, kemangi, kemiri, kunyit, penyedap rasa)",sulawesi
491,ayam tuturuga khas manado,"(air, daging ayam, daun bawang, daun jeruk, daun pandan, garam, jeruk nipis, kelapa, kemangi, kunyit, santan, serai, teh)",sulawesi
492,tongkol suwir ricarica khas manado,"(bawang putih, cabai merah, cabe rawit, daun bawang, daun jeruk, daun pandan, daun salam, ikan, jeruk nipis, kunyit, lengkuas, serai)",sulawesi
493,bakwan jagung khas manado tanpa telur,"(air, bawang putih, beras, daun bawang, garam, jagung, ketumbar, seledri, tepung beras, tepung terigu)",sulawesi
494,sup brenebon khas ntt,"(air, bawang putih, daging sapi, daun bawang, garam, kacang merah, merica, minyak, pala, penyedap rasa)",sulawesi
495,ayam woku kemangi khas manado,"(bawang putih, cabai merah, daging ayam, daun jeruk, garam, gula, gula merah, jahe, jeruk nipis, ketumbar, kunyit, serai, tomat)",sulawesi
496,ikan tuna rica khas manado,"(bawang putih, cabai merah, cabe rawit, daun bawang, daun jeruk, garam, ikan, jeruk nipis, penyedap rasa, serai, tomat)",sulawesi
497,sambal dabudabu khas manado,"(cabai merah, cabe rawit, garam, jeruk nipis, minyak, penyedap rasa, tomat)",sulawesi
498,menu satset sahur perkedel nike khas manado,"(bawang putih, cabai merah, daging ayam, lada, tepung terigu)",sulawesi
499,pampis tuna steak khas manado,"(air, coconut sugar, daun jeruk, daun pandan, garam, gula, ikan, jamur, jeruk nipis, kemangi, minyak, serai)",sulawesi
500,tumis bunga pepaya khas manado,"(bawang putih, bunga pepaya, cabai merah, cabe rawit, daun pandan, garam, jamur, kaldu jamur, kangkung, laos, minyak, pepaya)",sulawesi
501,sate garo daging sapi khas manado,"(air, asam, bawang putih, cabai merah, daging sapi, garam, gula, gula jawa, jahe, kemiri, kunyit, minyak)",sulawesi
502,sayur campur khas manado,"(bihun, buncis, daun bawang, kentang, margarin, minyak, sawi, seledri, wortel)",sulawesi
503,ayam tinoransak khas manado,"(air, daging ayam, daun jeruk, daun melinjo, daun pandan, garam, gula, gula merah, jeruk nipis, lada, melinjo, minyak, penyedap rasa, serai)",sulawesi
504,bandeng masak woku,"(bawang putih, daun bawang, daun kemangi, daun pandan, garam, gula, ikan, jeruk nipis, kemangi, kemiri, kunyit, merica, minyak, tomat)",sulawesi
505,woku ikan kembung,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, daging sapi, garam, ikan, jahe, jamur, jeruk nipis, kunyit, lemon, penyedap rasa)",sulawesi
506,tinutuan bubur manado sat set,"(air, bayam, beras, garam, jagung, kemangi, labu, lada, penyedap rasa, pokcoy, serai)",sulawesi
507,lalampa,"(beras, daging sapi, daun pandan, daun pisang, garam, ikan, kelapa, ketan, pisang, santan)",sulawesi
508,nasi jaha,"(beras, daun jeruk, daun pandan, daun pisang, garam, jahe, jeruk nipis, kelapa, ketan, pisang, santan, serai)",sulawesi
509,brudel kukus,"(daging ayam, fermipan, gula, keju, kelapa, margarin, ragi, santan, susu, teh, telur, tepung terigu)",sulawesi
510,kepala ikan gabusharuan masak kuah asam ala manado,"(bawang putih, cabai merah, cabe rawit, daun jeruk, daun pandan, daun salam, garam, ikan, jahe, jeruk nipis, kunyit, laos, serai)",sulawesi
511,mie cakalang,"(air, bawang putih, cakalang, daging ayam, daun bawang, jamur, kaldu jamur, kecap, lada, mie, minyak, saos, saos tiram, telur, wijen)",sulawesi
512,apang bakar manado,"(air, air kelapa, gula, gula merah, kacang kenari, kelapa, kenari, mentega, ragi, telur, tepung terigu)",sulawesi
513,kue panada isi ayam pedas,"(bawang bombay, bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, garam, gula, jeruk nipis, kelapa, lada, minyak, penyedap rasa, santan, serai)",sulawesi
514,es manado,"(air, alpukat, biji selasih, durian, nata de coco, sirsak, susu)",sulawesi
515,semur telur manado,"(air, cengkeh, daun jeruk, garam, gula, gula merah, jahe, jeruk nipis, kecap, kelapa, merica, minyak, santan, serai, telur)",sulawesi
516,klappertaart panggang,"(air, air kelapa, garam, gula, kelapa, maizena, mentega, susu, telur, tepung terigu, vanili, vanilla)",sulawesi
517,gohu pepaya,"(air, cabai merah, cuka, garam, gula, jahe, pepaya, terasi)",sulawesi
518,malalugis panggang rica teflon,"(cabai merah, cabe rawit, garam, ikan, jahe, jeruk nipis, kemiri, kunci, minyak)",sulawesi
519,sambal roa asap,"(bawang putih, cabai merah, cabe rawit, daun jeruk, garam, gula, gula jawa, ikan, jeruk nipis, minyak, penyedap rasa)",sulawesi
520,rica ayam akar teratai,"(air, air asam, akar teratai, asam, bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, garam, gula, jeruk nipis, kemiri, minyak)",sulawesi
521,paniki ayam,"(air, air asam, asam, cabai merah, cabe rawit, daging ayam, daun jeruk, garam, gula, gula jawa, jeruk nipis, kecap, minyak, serai)",sulawesi
522,pisang epe,"(air, daun pandan, durian, garam, gula, gula merah, pisang, teh)",sulawesi
523,sanggara bandang,"(garam, gula, pewarna makanan, pisang, ubi)",sulawesi
524,lapalapa,"(beras, garam, kelapa, santan)",sulawesi
525,sate gogos pokea atau satai kerang,"(air, bawang putih, daun salam, garam, jahe, kelapa, kunyit, minyak, santan, serai, teh)",sulawesi
526,sinonggi kendari,"(bawang putih, ikan, kangkung, kunyit, sagu, serai, tomat)",sulawesi
527,kapusu nosu,"(air, garam, gula, jagung, kelapa, santan, teh)",sulawesi
528,kabuto,"(garam, gula, gula merah, ikan, ubi)",sulawesi
